"","GV_6d_exp_value","6d_exp_value","6d_ref_exp_value"
"253757_at",6.90915405208444,7.7218181553895,7.30271927240938
"253758_at",7.332843414716,7.58266142171013,7.34007491169404
"253759_at",10.2531934899082,10.0749904313609,10.1865679015423
"253760_at",3.6646850217997,3.5697098666835,3.55497777317823
"253761_at",4.63395293551887,5.09325362501765,4.95473207527005
"253762_at",6.80549994822324,6.89413650276018,6.99535589852028
"253763_at",3.51929219755715,3.28820409813081,3.32372708323079
"253764_s_at",5.04823739824432,4.83967527384011,5.33321458112932
"253765_at",7.93427984329925,7.54274872235481,7.58728724929798
"253766_at",9.29365449320215,8.98417372386053,9.21712144872885
"253767_at",3.82466771692691,3.80112412314939,3.76607721853362
"253768_at",6.50998721998214,6.27297017641324,6.22186965784066
"253769_at",4.2756242830433,4.19544051423345,4.12128810174352
"253770_at",7.69966749550539,7.73273616526754,7.66637807412391
"253771_at",5.76765001620435,6.8367740089601,6.16133589421583
"253772_at",4.38656860477092,4.21675826429013,4.27456120989431
"253773_s_at",8.28127141548681,8.55882096995764,8.52604597937945
"253774_at",4.69164655485506,4.37339802294579,4.61091502018679
"253775_at",9.62846896089781,9.86348875457416,9.72920672273914
"253776_at",7.15556109937825,7.22425923918398,7.33613967368593
"253777_at",6.91306047109533,7.70361146213896,7.15574598033139
"253778_at",8.39916977751884,8.34700953070184,8.34831884962952
"253779_at",7.87738792585159,8.7299772082034,8.12223734593368
"253780_at",9.74565051296642,9.09858543427265,9.56119024167957
"253781_at",3.46418521071288,3.39073777652153,3.26190419809199
"253782_at",4.1921011087323,4.31537087336643,4.13572535488343
"253783_at",7.95982424837905,8.01673619484188,8.01077094709388
"253784_at",7.03082844844972,6.96283776423421,6.94421589142424
"253785_s_at",4.14770348271767,4.3287414132572,4.22726152715642
"253786_at",3.50140474078932,3.40154467294566,3.36574066615371
"253787_at",3.32711637132775,3.34849435058513,3.28970472706427
"253788_at",4.83595676152696,4.98013238352379,5.078081924121
"253789_at",7.9813278638195,7.85058798114223,7.73136701104921
"253790_at",6.95982430103129,7.59854147686136,7.25887155162156
"253791_at",8.03862322059582,8.35088641853172,7.7927764048472
"253792_at",4.90251271858421,4.87968627637824,4.79593559940635
"253793_at",5.3652086355779,5.18590984847435,5.54917794799913
"253794_at",3.43173711270342,3.34419514962334,3.3503507710283
"253795_at",3.19950482235901,3.54594753897123,3.66555273530797
"253796_at",4.04406351147468,4.48290683256238,4.77411495364283
"253797_at",7.58003329962808,7.76964115339233,7.61643549158067
"253798_at",9.68598369049045,9.1130718573322,9.39672530733464
"253799_at",7.48198552386194,6.62698770570589,6.93245940791242
"253800_at",4.29060875624132,4.23096597784414,4.25993218581661
"253801_at",3.59893703246066,3.7601092193812,3.68452706455137
"253802_at",5.40426536010766,5.49767681906816,5.59369176854614
"253803_at",7.08092873786267,7.66466456940437,7.20300228760336
"253804_at",6.36968395159395,7.3374964336602,6.82457835175972
"253805_at",8.81041150812821,8.52841119171983,8.70665256382544
"253806_at",9.32523042036669,8.79897285680836,9.06083984357506
"253807_at",4.04529888915094,3.79031653301281,3.79465472665211
"253808_at",9.37343666092501,8.85323082928875,9.0797132491743
"253809_at",6.99162400017083,7.07402121716331,6.90394152067841
"253810_at",5.90736441880351,6.04198593161919,5.78178479708969
"253811_at",5.14258240274265,5.29862434903894,5.11346965411223
"253812_at",10.1943791022952,9.7226386265027,10.0460744805869
"253813_at",5.2328590672563,4.73590729312422,5.08465231681349
"253814_at",5.78735998768821,5.31093768218726,5.50381601071437
"253815_at",10.6573874431105,10.6546286244296,10.9261151479493
"253816_at",6.56559649610517,6.86796862953171,6.69537464787441
"253817_at",6.79717152465792,7.80013681143616,7.03458798452862
"253818_at",6.92769813914603,6.71700507400507,6.80890851958303
"253819_at",4.38597413458474,4.84524813605728,5.00909524990308
"253820_at",8.35491391109935,7.93229969146519,8.18552745869641
"253821_at",8.23394277576915,7.28014955169226,7.59292310846631
"253822_at",3.2398905388296,3.46650784628505,3.40302897986173
